,fas_code,course_code
0,GENED 1019,GENED 1019
1,MOD-HEB 120A,MOD-HEB 120A
2,COMPSCI 79,COMPSCI 79
3,GENED 1071,GENED 1071
4,COMPLIT 107,COMPLIT 107
5,HIST-LIT 90EZ,HIST-LIT 90EZ
6,FRSEMR 65E,FRSEMR 65E
7,FRSEMR 35E,FRSEMR 35E
8,MATH 21A,MATH 21A
9,GENED 1175,GENED 1175
10,GOV 20,GOV 20
11,RUSS AA,RUSS AA
12,ECON 1133,ECON 1133
13,PHYSCI 10,PHYSCI 10
14,MUSIC 10,MUSIC 10
15,ECON 1010B,ECON 1010B
16,ENG-SCI 155,ENG-SCI 155
17,WOMGEN 1208,WOMGEN 1208
18,PSY 1005,PSY 1005
19,GENED 1120,GENED 1120
20,MOD-HEB BA,MOD-HEB BA
21,CHNSE BX,CHNSE BX
22,HAA 12M,HAA 12M
23,FRENCH 10,FRENCH 10
24,FRENCH 128,FRENCH 128
25,GENED 1183,GENED 1183
26,KOREAN BA,KOREAN BA
27,GREEK 3,GREEK 3
28,ANTHRO 1781,ANTHRO 1781
29,SLAVIC 118,SLAVIC 118
30,AMHARIC AA,AMHARIC AA
31,FRSEMR 43J,FRSEMR 43J
32,FRSEMR 33C,FRSEMR 33C
33,TDM 181B,TDM 181B
34,COMPSCI 120,COMPSCI 120
35,GENED 1140,GENED 1140
36,SPANSH 72,SPANSH 72
37,HIST-LIT 90FS,HIST-LIT 90FS
38,COMPSCI 50,COMPSCI 50
39,FRENCH 64,FRENCH 64
40,FRSEMR 51M,FRSEMR 51M
41,GENED 1076,GENED 1076
42,FRSEMR 72S,FRSEMR 72S
43,JAPAN 140A,JAPAN 140A
44,GREEK 1,GREEK 1
45,OEB 10,OEB 10
46,ENG-SCI 139,ENG-SCI 139
47,HISTSCI 100,HISTSCI 100
48,GOV 1734,GOV 1734
49,GENED 1042,GENED 1042
50,LATIN 106A,LATIN 106A
51,GENED 1011,GENED 1011
52,PSY 18,PSY 18
53,FRSEMR 62Z,FRSEMR 62Z
54,SPANSH 10,SPANSH 10
55,UYGHUR A,UYGHUR A
56,HIST 15E,HIST 15E
57,HIST-LIT 90FP,HIST-LIT 90FP
58,HAA 61G,HAA 61G
59,CHNSE BA,CHNSE BA
60,MUSIC 14,MUSIC 14
61,GOV 1249,GOV 1249
62,WELSH 225A,WELSH 225A
63,KOREAN 130A,KOREAN 130A
64,ESPP 78,ESPP 78
65,GERMAN 121,GERMAN 121
66,FRSEMR 72O,FRSEMR 72O
67,MUSIC 51A,MUSIC 51A
68,JAPAN 106A,JAPAN 106A
69,LIFESCI 50A,LIFESCI 50A
70,MLD 236,MLD 236
71,MATH 25A,MATH 25A
72,MATH 55A,MATH 55A
73,MUSIC 18,MUSIC 18
74,MATH QA,MATH QA
75,FRSEMR 31J,FRSEMR 31J
76,AFVS 107,AFVS 107
77,KOREAN BX,KOREAN BX
78,EDST 103,EDST 103
79,LING 73A,LING 73A
80,MATH 1A,MATH 1A
81,FRSEMR 41R,FRSEMR 41R
82,PSY 14,PSY 14
83,COMPSCI 73,COMPSCI 73
84,ENGLISH CNFR,ENGLISH CNFR
85,FRSEMR 33R,FRSEMR 33R
86,PHIL 34,PHIL 34
87,PHYSICS 15A,PHYSICS 15A
88,FRSEMR 42H,FRSEMR 42H
89,EDST 128,EDST 128
90,FRSEMR 65F,FRSEMR 65F
91,AMHARIC BA,AMHARIC BA
92,GENED 1102,GENED 1102
93,HIST 1993,HIST 1993
94,SPANSH 167,SPANSH 167
95,FRENCH 50,FRENCH 50
96,TDM 120,TDM 120
97,SPANSH 11,SPANSH 11
98,LING 101,LING 101
99,HIST-LIT 90FJ,HIST-LIT 90FJ
100,SPANSH 30,SPANSH 30
101,ANTHRO 1610,ANTHRO 1610
102,GENED 1012,GENED 1012
