fas_code,course_code
AFRAMER 134X,AFRAMER 134X
AFRAMER 11,AFRAMER 11
AFRAMER 116,AFRAMER 116
AFRAMER 183Y,AFRAMER 183Y
IGBO AA,IGBO AA
AFRAMER 197,AFRAMER 197
SWAHILI AA,SWAHILI AA
AFRAMER 202,AFRAMER 202
AFRIKAAN AA,AFRIKAAN AA
YORUBA BA,YORUBA BA
YORUBA AA,YORUBA AA
WSTAFRCN AA,WSTAFRCN AA
ANTHRO 99A,ANTHRO 99A
ZULU AA,ZULU AA
ANTHRO 98A,ANTHRO 98A
ANTHRO 1033,ANTHRO 1033
ANTHRO 1130,ANTHRO 1130
ANTHRO 1182,ANTHRO 1182
ANTHRO 1208,ANTHRO 1208
ANTHRO 1250,ANTHRO 1250
ANTHRO 1610,ANTHRO 1610
ANTHRO 1603,ANTHRO 1603
ANTHRO 1781,ANTHRO 1781
ANTHRO 1707,ANTHRO 1707
ANTHRO 1824,ANTHRO 1824
ANTHRO 1906,ANTHRO 1906
ANTHRO 2036,ANTHRO 2036
ANTHRO 2643,ANTHRO 2643
ANTHRO 2656,ANTHRO 2656
ANTHRO 2738,ANTHRO 2738
ANTHRO 2797,ANTHRO 2797
ANTHRO 2812,ANTHRO 2812
APCOMP 209A,APCOMP 209A
APCOMP 207,APCOMP 207
APCOMP 215,APCOMP 215
APCOMP 295,APCOMP 295
APCOMP 297R,APCOMP 297R
APCOMP 298R,APCOMP 298R
APMTH 10,APMTH 10
APMTH 22A,APMTH 22A
APMTH 101,APMTH 101
APMTH 104,APMTH 104
APMTH 111,APMTH 111
APMTH 203,APMTH 203
APMTH 201,APMTH 201
APMTH 121,APMTH 121
APMTH 207,APMTH 207
APMTH 205,APMTH 205
APMTH 226,APMTH 226
APPHY 50A,APPHY 50A
APMTH 207,APMTH 207
APPHY 50A,APPHY 50A
APPHY 195A,APPHY 195A
APPHY 284,APPHY 284
APPHY 235,APPHY 235
APPHY 282,APPHY 282
APPHY 225,APPHY 225
AFVS 12,AFVS 12
AFVS 39,AFVS 39
AFVS 15AR,AFVS 15AR
AFVS 40A,AFVS 40A
AFVS 14,AFVS 14
AFVS 41A,AFVS 41A
AFVS 53AR,AFVS 53AR
AFVS 50A,AFVS 50A
AFVS 51S,AFVS 51S
AFVS 54S,AFVS 54S
AFVS 133,AFVS 133
AFVS 107,AFVS 107
AFVS 120,AFVS 120
AFVS 137P,AFVS 137P
AFVS 141BR,AFVS 141BR
AFVS 144M,AFVS 144M
AFVS 150A,AFVS 150A
AFVS 161L,AFVS 161L
AFVS 154J,AFVS 154J
AFVS 153AR,AFVS 153AR
AFVS 166,AFVS 166
AFVS 168T,AFVS 168T
AFVS 173,AFVS 173
AFVS 179,AFVS 179
AFVS 189G,AFVS 189G
AFVS 190T,AFVS 190T
AFVS 196R,AFVS 196R
AFVS 231,AFVS 231
AFVS 215,AFVS 215
ASTRON 2,ASTRON 2
ASTRON 1,ASTRON 1
ASTRON 17,ASTRON 17
ASTRON 200,ASTRON 200
ASTRON 140,ASTRON 140
ASTRON 202A,ASTRON 202A
ASTRON 209,ASTRON 209
BE 110,BE 110
BPH 208,BPH 208
BPH 219,BPH 219
BE 121,BE 121
BIOPHYS 206,BIOPHYS 206
BIOSTAT 235,BIOSTAT 235
BIOSTAT 232,BIOSTAT 232
BIOSTAT 230,BIOSTAT 230
