index,fas_code,enrollment
0,FAS-110293-2218-1-1-LEC,25
1,FAS-123591-2218-1-1-001,12
2,FAS-156935-2218-1-1-LEC,20
3,FAS-218543-2218-1-1-LEC,14
4,FAS-126308-2218-1-1-001,17
5,FAS-123435-2218-1-1-01,31
6,FAS-119819-2218-1-1-001,9
7,FAS-218312-2218-1-1-LEC,30
8,FAS-109427-2218-1-1-001,10
9,FAS-120953-2218-1-1-001,5
10,FAS-120952-2218-1-1-001,14
11,FAS-204110-2218-1-1-001,14
12,FAS-205184-2218-1-1-001,10
13,FAS-126316-2218-1-1-001,14
14,FAS-205494-2218-1-1-001,24
15,FAS-218808-2218-1-1-001,8
16,FAS-121141-2218-1-1-001,13
17,FAS-109568-2218-1-1-001,14
18,FAS-218180-2218-1-1-001,9
19,FAS-127050-2218-1-1-001,18
20,FAS-119379-2218-1-1-001,26
21,FAS-215111-2218-1-1-001,18
22,FAS-218707-2218-1-1-001,6
23,FAS-218758-2218-1-1-001,7
24,FAS-213467-2218-1-1-001,6
25,FAS-216164-2218-1-1-001,19
26,FAS-108968-2218-1-1-001,6
27,FAS-212905-2218-1-1-001,7
28,FAS-218183-2218-1-1-001,7
29,FAS-211109-2218-1-1-001,9
30,FAS-218184-2218-1-1-001,16
31,FAS-126265-2218-1-1-001,15
32,FAS-109898-2218-1-1-001,230
33,FAS-128105-2218-1-1-001,146
34,FAS-215121-2218-1-1-001,69
35,FAS-218882-2218-1-1-001,30
36,FAS-156202-2218-1-1-001,22
37,FAS-109339-2218-1-1-001,20
38,FAS-213407-2218-1-1-001,81
39,FAS-211334-2218-1-1-001,27
40,FAS-132127-2218-1-1-001,51
41,FAS-122094-2218-1-1-001,51
42,FAS-120198-2218-1-1-001,34
43,FAS-156203-2218-1-1-001,19
44,FAS-112798-2218-1-1-001,38
45,FAS-123662-2218-1-1-001,68
46,FAS-127561-2218-1-1-001,43
47,FAS-110684-2218-1-1-001,82
48,FAS-212912-2218-1-1-001,22
49,FAS-108880-2218-1-1-001,53
50,FAS-127561-2218-1-1-002,43
51,FAS-108880-2218-1-1-002,58
52,FAS-131331-2218-1-1-001,27
53,FAS-131392-2218-1-1-001,57
54,FAS-124723-2218-1-1-001,20
55,FAS-142998-2218-1-1-001,7
56,FAS-121403-2218-1-1-001,11
57,FAS-203312-2218-1-1-1,14
58,FAS-218299-2218-1-1-001,9
59,FAS-121758-2218-1-1-001,12
60,FAS-111189-2218-1-1-1,10
61,FAS-203314-2218-1-1-1,14
