0,PSY 1811,COMPSCI 121,PHYSCI 2,WOMGEN 1217
1,ARABIC 242AR,APMTH 207,PHIL 34,COMPSCI 105
2,LIFESCI 1A,GOV 20,EXPOS 20,EXPOS 20
3,TDM 149,HISTSCI 1441,STAT 185,COMPSCI 242
4,MED-SCI 302QC,GENED 1094,MATH 21A,APMTH 101
5,SOCIOL 2202,HAA 63,MED-SCI 302QC,ECON 1017
6,HIST-LIT 90EQ,GENED 1116,MATH 242,AFVS 15AR
7,GENED 1104,MUSIC 123R,MED-SCI 300QC,ENGLISH 10
8,FRSEMR 63J,GENED 1001,EMR 1010,FOLKMYTH 111
9,GENED 1038,TDM 120,GENED 1056,GOV 94EK
10,APMTH 111,MATH 1B,GENED 1004,STAT 211
11,PSY 1,PHYSICS 253A,LING 98A,ECON 1126
12,CHEM 17,FRSEMR 50Y,MATH 22A,COMPSCI 121
13,LING 171,APPHY 284,MATH 22A,COMPSCI 50
14,BE 110,GENED 1116,GENED 1145,GENED 1166
15,GENED 1136,LIFESCI 1A,HAA 97R,MATH 1B
16,LIFESCI 2,GENED 1116,MUSIC 175R,APMTH 207
17,GOV 94PY,PHYSCI 12B,GOV 1790,MATH 1A
18,GOV 1243,GENED 1079,ENG-SCI 125,ECON 10A
19,GENED 1098,HIST 1155,ENG-SCI 239,GENED 1038
20,GENED 1093,PHYSICS 143A,APMTH 205,GENED 1130
21,ENG-SCI 51,EMR 1010,PHYSICS 253A,GENED 1038
22,EXPOS 20,GENED 1074,FOLKMYTH 111,PSY 1
23,GENED 1145,LATIN 105,APMTH 101,ECON 2906
24,GENED 1143,SPANSH 11,GENED 1097,EXPOS 40
25,GOV 2003,APCOMP 215,COMPSCI 109A,MUSIC 15A
26,RUSS 101,MED-SCI 300QC,ECON 1057,GENED 1097
27,MATH 1A,PSY 1523,PSY 1,FOLKMYTH 111
28,JAPAN 130A,NEUROBIO 215A,ESPP 90N,GENED 1038
29,HUMAN 10A,SCRB 190,SHBT 201,ECON 10A
30,GENED 1104,GENED 1105,CHEM 17,ECON 1017
31,ENG-SCI 239,GENED 1044,MUSIC 10A,SOCIOL 1181
32,CHNSE BA,PHYSICS 19,GENED 1053,ECON 10A
33,ENG-SCI 222,GENED 1098,WOMGEN 1204,HIST 3920A
34,MED-SCI 302QC,PHIL 103,ECON 1010A,MCB 60
