fas_code,enrollment,course_code
FAS-110293-2218-1-1-LEC,25,AFRAMER 134X
FAS-123591-2218-1-1-001,12,AFRAMER 11
FAS-156935-2218-1-1-LEC,20,AFRAMER 116
FAS-218543-2218-1-1-LEC,14,AFRAMER 183Y
FAS-126308-2218-1-1-001,17,IGBO AA
FAS-123435-2218-1-1-01,31,AFRAMER 197
FAS-119819-2218-1-1-001,9,SWAHILI AA
FAS-218312-2218-1-1-LEC,30,AFRAMER 202
FAS-109427-2218-1-1-001,10,AFRIKAAN AA
FAS-120953-2218-1-1-001,5,YORUBA BA
FAS-120952-2218-1-1-001,14,YORUBA AA
FAS-204110-2218-1-1-001,14,WSTAFRCN AA
FAS-205184-2218-1-1-001,10,ANTHRO 99A
FAS-126316-2218-1-1-001,14,ZULU AA
FAS-205494-2218-1-1-001,24,ANTHRO 98A
FAS-218808-2218-1-1-001,8,ANTHRO 1033
FAS-121141-2218-1-1-001,13,ANTHRO 1130
FAS-109568-2218-1-1-001,14,ANTHRO 1182
FAS-218180-2218-1-1-001,9,ANTHRO 1208
FAS-127050-2218-1-1-001,18,ANTHRO 1250
FAS-119379-2218-1-1-001,26,ANTHRO 1610
FAS-215111-2218-1-1-001,18,ANTHRO 1603
FAS-218707-2218-1-1-001,6,ANTHRO 1781
FAS-218758-2218-1-1-001,7,ANTHRO 1707
FAS-213467-2218-1-1-001,6,ANTHRO 1824
FAS-216164-2218-1-1-001,19,ANTHRO 1906
FAS-108968-2218-1-1-001,6,ANTHRO 2036
FAS-212905-2218-1-1-001,7,ANTHRO 2643
FAS-218183-2218-1-1-001,7,ANTHRO 2656
FAS-211109-2218-1-1-001,9,ANTHRO 2738
FAS-218184-2218-1-1-001,16,ANTHRO 2797
FAS-126265-2218-1-1-001,15,ANTHRO 2812
FAS-109898-2218-1-1-001,230,APCOMP 209A
FAS-128105-2218-1-1-001,146,APCOMP 207
FAS-215121-2218-1-1-001,69,APCOMP 215
FAS-218882-2218-1-1-001,30,APCOMP 295
FAS-156202-2218-1-1-001,22,APCOMP 297R
FAS-109339-2218-1-1-001,20,APCOMP 298R
FAS-213407-2218-1-1-001,81,APMTH 10
FAS-211334-2218-1-1-001,27,APMTH 22A
FAS-132127-2218-1-1-001,51,APMTH 101
FAS-122094-2218-1-1-001,51,APMTH 104
FAS-120198-2218-1-1-001,34,APMTH 111
FAS-156203-2218-1-1-001,19,APMTH 203
FAS-112798-2218-1-1-001,38,APMTH 201
FAS-123662-2218-1-1-001,68,APMTH 121
FAS-127561-2218-1-1-001,43,APMTH 207
FAS-110684-2218-1-1-001,82,APMTH 205
FAS-212912-2218-1-1-001,22,APMTH 226
FAS-108880-2218-1-1-001,53,APPHY 50A
FAS-127561-2218-1-1-002,43,APMTH 207
FAS-108880-2218-1-1-002,58,APPHY 50A
FAS-131331-2218-1-1-001,27,APPHY 195A
FAS-131392-2218-1-1-001,57,APPHY 284
FAS-124723-2218-1-1-001,20,APPHY 235
FAS-142998-2218-1-1-001,7,APPHY 282
FAS-121403-2218-1-1-001,11,APPHY 225
FAS-203312-2218-1-1-1,14,AFVS 12
FAS-218299-2218-1-1-001,9,AFVS 39
FAS-121758-2218-1-1-001,12,AFVS 15AR
FAS-111189-2218-1-1-1,10,AFVS 40A
FAS-203314-2218-1-1-1,14,AFVS 14
FAS-122184-2218-1-1-1,10,AFVS 41A
FAS-110676-2218-1-1-001,10,AFVS 53AR
FAS-114351-2218-1-1-001,8,AFVS 50A
FAS-218678-2218-1-1-1,10,AFVS 51S
FAS-126181-2218-1-1-001,10,AFVS 54S
FAS-216299-2218-1-1-001,12,AFVS 133
FAS-122679-2218-1-1-001,20,AFVS 107
FAS-216297-2218-1-1-001,13,AFVS 120
FAS-218300-2218-1-1-001,11,AFVS 137P
FAS-205346-2218-1-1-1,9,AFVS 141BR
FAS-213475-2218-1-1-1,19,AFVS 144M
FAS-114116-2218-1-1-001,9,AFVS 150A
FAS-217449-2218-1-1-1,7,AFVS 161L
FAS-218297-2218-1-1-001,8,AFVS 154J
FAS-115390-2218-1-1-001,7,AFVS 153AR
FAS-117143-2218-1-1-001,12,AFVS 166
FAS-218580-2218-1-1-1,7,AFVS 168T
FAS-110045-2218-1-1-1,12,AFVS 173
FAS-216346-2218-1-1-001,11,AFVS 179
FAS-156172-2218-1-1-1,16,AFVS 189G
FAS-218731-2218-1-1-1,14,AFVS 190T
FAS-119636-2218-1-1-001,10,AFVS 196R
FAS-213421-2218-1-1-001,9,AFVS 231
FAS-205183-2218-1-1-001,8,AFVS 215
FAS-111305-2218-1-1-L01,21,ASTRON 2
FAS-113797-2218-1-1-001,42,ASTRON 1
FAS-125884-2218-1-1-001,35,ASTRON 17
FAS-124966-2218-1-1-001,8,ASTRON 200
FAS-218228-2218-1-1-001,9,ASTRON 140
FAS-118139-2218-1-1-L01,17,ASTRON 202A
FAS-108130-2218-1-1-001,13,ASTRON 209
FAS-150189-2218-1-1-001,35,BE 110
FAS-113276-2218-1-1-001,25,BPH 208
FAS-110521-2218-1-1-001,11,BPH 219
FAS-119067-2218-1-1-001,17,BE 121
FAS-218831-2218-1-1-001,12,BIOPHYS 206
FAS-119848-2218-1-1-001,13,BIOSTAT 235
FAS-119846-2218-1-1-001,15,BIOSTAT 232
FAS-119844-2218-1-1-001,11,BIOSTAT 230
FAS-207727-2218-1-1-001,17,CELTIC 111
